query_id,channel,rank,md_word_count,md_sentence_count,md_avg_sentence_length,md_num_bullets,md_num_sections,style_descriptor_count,style_descriptors_unique,persuasion_word_count,md_sentiment_polarity,md_category_path,md_top_category
Find_10_handmade_pottery_mugs_on_Etsy,SEO,6,4906,345,14.220289855072464,130,24,0,0,11,0.05630661355451267,,
Find_10_handmade_pottery_mugs_on_Etsy,SEO,7,5564,335,16.608955223880596,136,26,0,0,9,0.25106821173851807,,
Find_10_handmade_pottery_mugs_on_Etsy,SEO,8,3569,195,18.3025641025641,80,26,0,0,6,0.1081325917401867,,
Find_10_handmade_pottery_mugs_on_Etsy,SEO,9,5463,350,15.608571428571429,138,26,1,1,10,0.13109324013265727,,
Find_10_handmade_pottery_mugs_on_Etsy,SEO,10,6452,411,15.69829683698297,148,30,0,0,16,0.18679066214825446,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,1,5120,265,19.32075471698113,117,21,0,0,30,0.19868162671799963,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,2,4357,221,19.714932126696834,101,22,1,1,17,0.18558447778725037,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,3,2273,92,24.706521739130434,85,25,1,1,3,0.215343204775023,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,4,3904,224,17.428571428571427,102,30,1,1,16,0.1290304758266943,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,5,9685,421,23.004750593824227,190,31,1,1,54,0.03608428353016259,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,6,4179,284,14.714788732394366,92,26,0,0,6,0.14486130139128695,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,7,4266,229,18.62882096069869,99,26,0,0,8,0.10076501227817027,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,8,5111,278,18.384892086330936,108,23,0,0,18,0.12864665541255826,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,9,3563,152,23.44078947368421,79,32,2,2,7,0.11279526029526028,,
Show_10_zodiac_or_astrology-themed_mugs_from_Etsy,SEO,10,3344,171,19.555555555555557,91,25,0,0,3,0.09004104065868766,,
List_10_vintage-style_ceramic_cups_under__30_on_Et,SEO,1,3634,194,18.7319587628866,148,21,0,0,5,0.25352774564507347,,
List_10_vintage-style_ceramic_cups_under__30_on_Et,SEO,2,4306,255,16.886274509803922,109,25,3,3,9,0.08656434253916458,,
List_10_vintage-style_ceramic_cups_under__30_on_Et,SEO,3,1838,70,26.257142857142856,62,24,0,0,2,0.1733754671254672,,
